Interests,Budget_Range,Travel_Type,Duration,Accommodation_Preference,Preferred_Locations,Activities
Adventure,High,Family,Two Weeks,Eco-friendly,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Medium,Solo,Two Weeks,Eco-friendly,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Low,Solo,Two Weeks,Eco-friendly,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,High,Solo,Two Weeks,Eco-friendly,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Medium,Group,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Low,Group,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,High,Group,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Medium,Family,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Low,Family,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,High,Family,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Medium,Solo,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Low,Solo,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,High,Solo,Two Weeks,Budget,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Medium,Group,Two Weeks,Luxury,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Low,Group,Two Weeks,Luxury,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,High,Group,Two Weeks,Luxury,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Medium,Family,Two Weeks,Luxury,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,Low,Family,Two Weeks,Luxury,"Ella, Arugambay","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella,  Week 02 - Arugam Bay to Ella Shuttle & Upper Diyaluma Waterfall Hike, Sustainable Arugam Bay Tour (Visit WasteLess and Rice & Carry)   "
Adventure,High,Family,Two Weeks,Luxury,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,Medium,Solo,Two Weeks,Luxury,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,Low,Solo,Two Weeks,Luxury,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,High,Solo,Two Weeks,Luxury,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,Medium,Group,Two Weeks,Eco-friendly,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,Low,Group,Two Weeks,Eco-friendly,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,High,Group,Two Weeks,Eco-friendly,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,Medium,Family,Two Weeks,Eco-friendly,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
Adventure,Low,Family,Two Weeks,Eco-friendly,"Ella, Sinharaja","Week 01 - Hike Ella Rock, Hike Little Adam's Peak, Handmade Tea Tour in Ella, Tea Plantation Tour in Ella  Week 02 - Explore Sinharaja Rain Forest, Sinharaja Forest Reserve Glamping with BBQ Night"
