Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Wildlife, Relaxation",High,Solo,Budget,Train,"Habarana, Wilpattu, Sinharaja, Koggala, Colombo, Dambulla",Safari in Habarana; Explore Wilpattu National Park; Trek in Sinharaja Rainforest; Relax at Koggala Beach; Visit a Gangaramaya Temple; Explore Dambulla Cave Temple
Culture,Medium,Group,Luxury,Bus,"Jaffna, Colombo",Visit Jaffna Fort; Visit a Gangaramaya Temple
Relaxation,Low,Family,Luxury,Train,"Galle, Arugambay, Weligama",Explore Dutch Fort in Galle; Surf in Arugambay; Take surfing lessons in Weligama
"Relaxation, Wildlife",Medium,Group,Eco-friendly,Train,"Kandy, Colombo, Yala, Wilpattu, Minneriya",Visit the Temple of the Sacred Tooth Relic; Visit a Gangaramaya Temple; Safari in Yala National Park; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya
"Relaxation, Beach, Adventure",Low,Group,Eco-friendly,Bus,"Kalutara, Hambanthota, Hikkaduwa, Negombo, Hikkaduwa, Sinharaja",Visit Kalutara Bodhiya; Explore Bundala National Park; Snorkel in Hikkaduwa; Relax on Negombo Beach; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest
"Beach, Culture, Relaxation",Low,Family,Budget,Train,"Puttalam, Jaffna, Sigiriya, Unawatuna, Negombo",Birdwatch at Puttalam Lagoon; Visit Jaffna Fort; Visit Sigiriya Rock Fortress; Relax at Unawatuna Beach; Relax on Negombo Beach
"Culture, Adventure",High,Solo,Eco-friendly,Train,"Koggala, Dambulla, Mirissa",Relax at Koggala Beach; Explore Dambulla Cave Temple; Go whale watching in Mirissa
Culture,Low,Family,Luxury,Train,"Galle, Colombo, Kandy",Explore Dutch Fort in Galle; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic
Beach,Low,Family,Budget,Rental Car,"Unawatuna, Jaffna, Puttalam",Relax at Unawatuna Beach; Visit Jaffna Fort; Birdwatch at Puttalam Lagoon
"Beach, Wildlife",High,Solo,Eco-friendly,Rental Car,"Arugambay, Galle, Udawalawa, Wilpattu, Habarana",Surf in Arugambay; Explore Dutch Fort in Galle; Elephant watching in Udawalawa; Explore Wilpattu National Park; Safari in Habarana
"Culture, Adventure, Relaxation",High,Family,Luxury,Train,"Colombo, Polonnaruwa, Arugambay, Nuwara Eliya, Dambulla, Hatton, Negombo",Visit a Gangaramaya Temple; Explore ancient ruins in Polonnaruwa; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Explore Dambulla Cave Temple; Hike Adam’s Peak; Relax on Negombo Beach
"Wildlife, Adventure, Relaxation",Medium,Group,Budget,Bus,"Habarana, Mirissa, Unawatuna, Negombo, Kalutara, Kandy",Safari in Habarana; Go whale watching in Mirissa; Relax at Unawatuna Beach; Relax on Negombo Beach; Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic
"Culture, Beach",Low,Family,Budget,Rental Car,"Mihintale, Jaffna, Unawatuna, Jaffna, Bentota",Climb Mihintale Rock Temple; Visit Jaffna Fort; Relax at Unawatuna Beach; Visit Jaffna Fort; Jet skiing in Bentota
Relaxation,High,Family,Eco-friendly,Train,Negombo,Relax on Negombo Beach
"Adventure, Wildlife",High,Family,Eco-friendly,Train,"Mirissa, Unawatuna, Wilpattu, Minneriya, Sinharaja",Go whale watching in Mirissa; Relax at Unawatuna Beach; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest
"Culture, Beach, Wildlife",High,Solo,Luxury,Bus,"Polonnaruwa, Kandy, Trincomalee, Negombo, Hambanthota, Matara, Udawalawa, Habarana, Wilpattu",Explore ancient ruins in Polonnaruwa; Visit the Temple of the Sacred Tooth Relic; Snorkel at Pigeon Island; Relax on Negombo Beach; Explore Bundala National Park; Visit Parey Dewa in Matara; Elephant watching in Udawalawa; Safari in Habarana; Explore Wilpattu National Park
"Beach, Adventure",Low,Solo,Eco-friendly,Train,"Bentota, Unawatuna, Arugambay",Jet skiing in Bentota; Relax at Unawatuna Beach; Surf in Arugambay
"Relaxation, Wildlife, Culture",High,Family,Eco-friendly,Train,"Hambanthota, Weligama, Galle, Habarana, Udawalawa, Wilpattu, Kalutara",Explore Bundala National Park; Take surfing lessons in Weligama; Explore Dutch Fort in Galle; Safari in Habarana; Elephant watching in Udawalawa; Explore Wilpattu National Park; Visit Kalutara Bodhiya
"Culture, Beach",High,Family,Luxury,Rental Car,"Kandy, Kalutara, Unawatuna, Hikkaduwa, Jaffna",Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Visit Jaffna Fort
"Relaxation, Beach",High,Group,Eco-friendly,Rental Car,"Weligama, Galle, Jaffna, Negombo",Take surfing lessons in Weligama; Explore Dutch Fort in Galle; Visit Jaffna Fort; Relax on Negombo Beach
"Wildlife, Adventure",Medium,Group,Budget,Bus,"Minneriya, Habarana, Hikkaduwa, Sinharaja, Nuwara Eliya",Visit the elephant gathering in Minneriya; Safari in Habarana; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya
"Culture, Wildlife, Relaxation",Medium,Solo,Luxury,Train,"Colombo, Minneriya, Udawalawa, Sinharaja, Nuwara Eliya",Visit a Gangaramaya Temple; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya
"Wildlife, Relaxation",Low,Family,Eco-friendly,Train,"Sinharaja, Wilpattu, Matara",Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Visit Parey Dewa in Matara
Beach,Medium,Solo,Eco-friendly,Bus,"Arugambay, Puttalam, Unawatuna",Surf in Arugambay; Birdwatch at Puttalam Lagoon; Relax at Unawatuna Beach
"Wildlife, Beach, Culture",Medium,Solo,Budget,Train,"Udawalawa, Habarana, Puttalam, Colombo, Sigiriya",Elephant watching in Udawalawa; Safari in Habarana; Birdwatch at Puttalam Lagoon; Visit a Gangaramaya Temple; Visit Sigiriya Rock Fortress
"Adventure, Beach, Relaxation",Low,Group,Budget,Bus,"Mirissa, Arugambay, Sinharaja, Dickwella, Matara, Dambulla, Galle, Matara",Go whale watching in Mirissa; Surf in Arugambay; Trek in Sinharaja Rainforest; Visit the Beach; Visit Parey Dewa in Matara; Explore Dambulla Cave Temple; Explore Dutch Fort in Galle; Visit Parey Dewa in Matara
Beach,High,Family,Budget,Bus,"Unawatuna, Bentota",Relax at Unawatuna Beach; Jet skiing in Bentota
"Adventure, Culture",Low,Solo,Budget,Bus,"Ella, Kalutara",Hike Ella Rock; Visit Kalutara Bodhiya
Adventure,High,Group,Eco-friendly,Rental Car,Ella,Hike Ella Rock
"Adventure, Beach, Wildlife",Low,Family,Eco-friendly,Train,"Unawatuna, Hikkaduwa, Jaffna, Udawalawa, Wilpattu, Sinharaja",Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Visit Jaffna Fort; Elephant watching in Udawalawa; Explore Wilpattu National Park; Trek in Sinharaja Rainforest
"Relaxation, Beach",High,Group,Eco-friendly,Rental Car,"Negombo, Nuwara Eliya, Pasikudah, Unawatuna",Relax on Negombo Beach; Tour tea plantations in Nuwara Eliya; Enjoy snorkeling in Pasikudah; Relax at Unawatuna Beach
Beach,Medium,Family,Eco-friendly,Bus,Dickwella,Visit the Beach
"Wildlife, Beach",Low,Family,Luxury,Train,"Yala, Wilpattu, Jaffna, Matara, Unawatuna",Safari in Yala National Park; Explore Wilpattu National Park; Visit Jaffna Fort; Visit Parey Dewa in Matara; Relax at Unawatuna Beach
Relaxation,Medium,Family,Eco-friendly,Rental Car,"Negombo, Koggala",Relax on Negombo Beach; Relax at Koggala Beach
Culture,High,Solo,Budget,Bus,"Mihintale, Dambulla, Jaffna",Climb Mihintale Rock Temple; Explore Dambulla Cave Temple; Visit Jaffna Fort
"Adventure, Wildlife, Relaxation",High,Group,Eco-friendly,Bus,"Arugambay, Habarana, Yala, Weligama, Kandy, Matara",Surf in Arugambay; Safari in Habarana; Safari in Yala National Park; Take surfing lessons in Weligama; Visit the Temple of the Sacred Tooth Relic; Visit Parey Dewa in Matara
"Wildlife, Adventure, Relaxation",Medium,Family,Luxury,Bus,"Minneriya, Sinharaja, Wilpattu, Ella, Sinharaja, Nuwara Eliya, Kalutara",Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Hike Ella Rock; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya
"Culture, Adventure, Beach",Low,Family,Luxury,Rental Car,"Koggala, Sinharaja, Arugambay, Hikkaduwa, Tangalle",Relax at Koggala Beach; Trek in Sinharaja Rainforest; Surf in Arugambay; Snorkel in Hikkaduwa; Relax at Tangalle Beach
"Relaxation, Beach",Medium,Solo,Budget,Train,"Arugambay, Pasikudah, Galle",Surf in Arugambay; Enjoy snorkeling in Pasikudah; Explore Dutch Fort in Galle
"Adventure, Culture",High,Solo,Luxury,Rental Car,"Ella, Sigiriya, Anuradhapura, Mihintale",Hike Ella Rock; Visit Sigiriya Rock Fortress; Visit ancient stupas in Anuradhapura; Climb Mihintale Rock Temple
"Relaxation, Beach",Low,Family,Budget,Rental Car,"Nuwara Eliya, Hatton, Weligama, Bentota, Pasikudah, Puttalam",Tour tea plantations in Nuwara Eliya; Hike Adam’s Peak; Take surfing lessons in Weligama; Jet skiing in Bentota; Enjoy snorkeling in Pasikudah; Birdwatch at Puttalam Lagoon
Wildlife,Medium,Group,Luxury,Train,"Wilpattu, Yala, Udawalawa",Explore Wilpattu National Park; Safari in Yala National Park; Elephant watching in Udawalawa
Beach,High,Solo,Luxury,Rental Car,"Pasikudah, Galle",Enjoy snorkeling in Pasikudah; Explore Dutch Fort in Galle
"Culture, Beach",Low,Group,Budget,Rental Car,"Jaffna, Kandy, Mirissa",Visit Jaffna Fort; Visit the Temple of the Sacred Tooth Relic; Go whale watching in Mirissa
"Beach, Relaxation, Adventure",High,Solo,Luxury,Bus,"Negombo, Kalutara, Colombo, Negombo, Ella, Mirissa",Relax on Negombo Beach; Visit Kalutara Bodhiya; Visit a Gangaramaya Temple; Relax on Negombo Beach; Hike Ella Rock; Go whale watching in Mirissa
Adventure,Medium,Family,Eco-friendly,Rental Car,"Hikkaduwa, Unawatuna",Snorkel in Hikkaduwa; Relax at Unawatuna Beach
Adventure,Medium,Group,Luxury,Train,Unawatuna,Relax at Unawatuna Beach
Culture,Low,Group,Luxury,Rental Car,"Sigiriya, Anuradhapura",Visit Sigiriya Rock Fortress; Visit ancient stupas in Anuradhapura
Wildlife,Low,Family,Luxury,Bus,Habarana,Safari in Habarana
"Adventure, Wildlife",High,Solo,Eco-friendly,Train,"Nuwara Eliya, Habarana, Udawalawa, Sinharaja",Tour tea plantations in Nuwara Eliya; Safari in Habarana; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
"Culture, Wildlife",High,Group,Luxury,Rental Car,"Mihintale, Yala, Sinharaja",Climb Mihintale Rock Temple; Safari in Yala National Park; Trek in Sinharaja Rainforest
"Adventure, Relaxation",High,Solo,Luxury,Bus,"Mirissa, Nuwara Eliya, Unawatuna, Koggala, Hatton",Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Relax at Koggala Beach; Hike Adam’s Peak
Culture,Low,Family,Eco-friendly,Bus,Anuradhapura,Visit ancient stupas in Anuradhapura
Relaxation,Low,Group,Eco-friendly,Rental Car,"Kandy, Colombo",Visit the Temple of the Sacred Tooth Relic; Visit a Gangaramaya Temple
"Relaxation, Culture",High,Solo,Eco-friendly,Rental Car,"Matara, Kandy, Mihintale",Visit Parey Dewa in Matara; Visit the Temple of the Sacred Tooth Relic; Climb Mihintale Rock Temple
Adventure,Medium,Group,Eco-friendly,Bus,"Arugambay, Hikkaduwa",Surf in Arugambay; Snorkel in Hikkaduwa
"Wildlife, Beach",Medium,Family,Luxury,Train,"Yala, Pasikudah, Arugambay, Matara",Safari in Yala National Park; Enjoy snorkeling in Pasikudah; Surf in Arugambay; Visit Parey Dewa in Matara
"Adventure, Relaxation, Wildlife",Low,Solo,Eco-friendly,Bus,"Hikkaduwa, Mirissa, Unawatuna, Weligama, Kalutara, Udawalawa, Sinharaja, Yala",Snorkel in Hikkaduwa; Go whale watching in Mirissa; Relax at Unawatuna Beach; Take surfing lessons in Weligama; Visit Kalutara Bodhiya; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest; Safari in Yala National Park
"Adventure, Relaxation, Culture",Low,Solo,Eco-friendly,Train,"Unawatuna, Sinharaja, Hikkaduwa, Hambanthota, Jaffna",Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Snorkel in Hikkaduwa; Explore Bundala National Park; Visit Jaffna Fort
Wildlife,High,Family,Luxury,Bus,Sinharaja,Trek in Sinharaja Rainforest
"Relaxation, Adventure",Medium,Family,Budget,Bus,"Hatton, Hambanthota, Hikkaduwa, Mirissa, Arugambay",Hike Adam's Peak; Explore Bundala National Park; Snorkel in Hikkaduwa; Go whale watching in Mirissa; Surf in Arugambay
"Relaxation, Beach, Adventure",Low,Solo,Budget,Rental Car,"Ella, Hatton, Hambanthota, Puttalam, Nuwara Eliya",Hike Ella Rock; Hike Adam's Peak; Explore Bundala National Park; Birdwatch at Puttalam Lagoon; Tour tea plantations in Nuwara Eliya
"Culture, Relaxation",Medium,Group,Eco-friendly,Rental Car,"Kalutara, Dambulla, Hambanthota, Ella",Visit Kalutara Bodhiya; Explore Dambulla Cave Temple; Explore Bundala National Park; Hike Ella Rock
"Relaxation, Wildlife, Beach",Low,Solo,Luxury,Bus,"Nuwara Eliya, Arugambay, Minneriya, Hikkaduwa",Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Visit the elephant gathering in Minneriya; Snorkel in Hikkaduwa
Beach,Medium,Group,Budget,Rental Car,"Pasikudah, Dickwella",Enjoy snorkeling in Pasikudah; Visit the Beach
"Culture, Relaxation",Medium,Family,Eco-friendly,Rental Car,"Galle, Ratnapura, Arugambay, Matara, Kandy",Explore Dutch Fort in Galle; Visit gem mines in Ratnapura; Surf in Arugambay; Visit Parey Dewa in Matara; Visit the Temple of the Sacred Tooth Relic
"Wildlife, Beach, Relaxation",Low,Group,Luxury,Train,"Habarana, Wilpattu, Sinharaja, Unawatuna, Negombo, Kandy",Safari in Habarana; Explore Wilpattu National Park; Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Relax on Negombo Beach; Visit the Temple of the Sacred Tooth Relic
Culture,High,Solo,Luxury,Bus,"Trincomalee, Kandy, Jaffna",Snorkel at Pigeon Island; Visit the Temple of the Sacred Tooth Relic; Visit Jaffna Fort
"Relaxation, Culture",Medium,Solo,Eco-friendly,Bus,"Negombo, Arugambay, Nuwara Eliya, Anuradhapura, Galle, Polonnaruwa",Relax on Negombo Beach; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Visit ancient stupas in Anuradhapura; Explore Dutch Fort in Galle; Explore ancient ruins in Polonnaruwa
"Adventure, Wildlife, Culture",High,Solo,Eco-friendly,Rental Car,"Nuwara Eliya, Hikkaduwa, Udawalawa, Koggala",Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Elephant watching in Udawalawa; Relax at Koggala Beach
Culture,Medium,Group,Luxury,Rental Car,"Ratnapura, Kandy, Sigiriya",Visit gem mines in Ratnapura; Visit the Temple of the Sacred Tooth Relic; Visit Sigiriya Rock Fortress
Relaxation,Low,Solo,Luxury,Train,Galle,Explore Dutch Fort in Galle
"Wildlife, Relaxation",Low,Family,Budget,Train,"Minneriya, Unawatuna, Hatton",Visit the elephant gathering in Minneriya; Relax at Unawatuna Beach; Hike Adam’s Peak
"Wildlife, Beach",High,Group,Eco-friendly,Rental Car,"Yala, Wilpattu, Puttalam, Mirissa",Safari in Yala National Park; Explore Wilpattu National Park; Birdwatch at Puttalam Lagoon; Go whale watching in Mirissa
"Culture, Adventure",Medium,Solo,Luxury,Bus,"Kandy, Ratnapura, Koggala, Mirissa",Visit the Temple of the Sacred Tooth Relic; Visit gem mines in Ratnapura; Relax at Koggala Beach; Go whale watching in Mirissa
"Adventure, Relaxation",Medium,Family,Budget,Rental Car,"Sinharaja, Hikkaduwa, Arugambay",Trek in Sinharaja Rainforest; Snorkel in Hikkaduwa; Surf in Arugambay
"Relaxation, Adventure, Wildlife",High,Solo,Budget,Rental Car,"Dambulla, Nuwara Eliya, Unawatuna, Arugambay, Yala, Habarana",Explore Dambulla Cave Temple; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Surf in Arugambay; Safari in Yala National Park; Safari in Habarana
"Wildlife, Beach, Adventure",High,Solo,Luxury,Bus,"Sinharaja, Habarana, Galle, Unawatuna, Hikkaduwa, Unawatuna, Arugambay, Nuwara Eliya",Trek in Sinharaja Rainforest; Safari in Habarana; Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Surf in Arugambay; Tour tea plantations in Nuwara Eliya
Wildlife,Medium,Family,Budget,Rental Car,"Udawalawa, Yala, Habarana",Elephant watching in Udawalawa; Safari in Yala National Park; Safari in Habarana
Adventure,Low,Group,Luxury,Rental Car,"Sinharaja, Unawatuna, Arugambay",Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Surf in Arugambay
"Beach, Wildlife",High,Group,Eco-friendly,Train,"Kalutara, Puttalam, Galle, Sinharaja, Udawalawa, Wilpattu",Visit Kalutara Bodhiya; Birdwatch at Puttalam Lagoon; Explore Dutch Fort in Galle; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Explore Wilpattu National Park
Relaxation,High,Group,Luxury,Train,"Kandy, Kalutara, Arugambay",Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya; Surf in Arugambay
Culture,Low,Solo,Budget,Bus,"Kandy, Koggala",Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach
Beach,Medium,Family,Eco-friendly,Bus,"Unawatuna, Dickwella, Negombo",Relax at Unawatuna Beach; Visit the Beach; Relax on Negombo Beach
"Culture, Relaxation",Medium,Solo,Luxury,Bus,"Mihintale, Anuradhapura, Koggala, Arugambay",Climb Mihintale Rock Temple; Visit ancient stupas in Anuradhapura; Relax at Koggala Beach; Surf in Arugambay
"Beach, Culture, Wildlife",High,Family,Luxury,Rental Car,"Arugambay, Negombo, Hambanthota, Kandy, Mihintale, Ratnapura, Wilpattu, Yala, Minneriya",Surf in Arugambay; Relax on Negombo Beach; Explore Bundala National Park; Visit the Temple of the Sacred Tooth Relic; Climb Mihintale Rock Temple; Visit gem mines in Ratnapura; Explore Wilpattu National Park; Safari in Yala National Park; Visit the elephant gathering in Minneriya
Relaxation,Medium,Group,Eco-friendly,Rental Car,"Nuwara Eliya, Kandy, Hatton",Tour tea plantations in Nuwara Eliya; Visit the Temple of the Sacred Tooth Relic; Hike Adam’s Peak
"Wildlife, Culture",Medium,Family,Luxury,Rental Car,"Minneriya, Yala, Sinharaja, Dambulla, Koggala, Colombo",Visit the elephant gathering in Minneriya; Safari in Yala National Park; Trek in Sinharaja Rainforest; Explore Dambulla Cave Temple; Relax at Koggala Beach; Visit a Gangaramaya Temple
"Beach, Adventure",High,Group,Luxury,Train,"Puttalam, Hikkaduwa",Birdwatch at Puttalam Lagoon; Snorkel in Hikkaduwa
"Relaxation, Adventure, Culture",High,Group,Luxury,Train,"Arugambay, Nuwara Eliya, Unawatuna, Trincomalee",Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Snorkel at Pigeon Island
"Culture, Adventure",Low,Family,Budget,Train,"Mihintale, Galle, Unawatuna, Arugambay",Climb Mihintale Rock Temple; Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Surf in Arugambay
Adventure,Low,Group,Budget,Rental Car,"Mirissa, Hikkaduwa, Sinharaja",Go whale watching in Mirissa; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest
"Culture, Wildlife",Medium,Group,Luxury,Train,"Mihintale, Yala, Udawalawa, Sinharaja",Climb Mihintale Rock Temple; Safari in Yala National Park; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
Beach,Medium,Family,Eco-friendly,Bus,Pasikudah,Enjoy snorkeling in Pasikudah
Beach,Medium,Group,Eco-friendly,Rental Car,"Kalutara, Jaffna, Negombo",Visit Kalutara Bodhiya; Visit Jaffna Fort; Relax on Negombo Beach
"Beach, Culture",High,Group,Eco-friendly,Train,"Arugambay, Mirissa, Trincomalee, Anuradhapura, Colombo",Surf in Arugambay; Go whale watching in Mirissa; Snorkel at Pigeon Island; Visit ancient stupas in Anuradhapura; Visit a Gangaramaya Temple
Relaxation,Low,Solo,Eco-friendly,Train,"Hambanthota, Matara",Explore Bundala National Park; Visit Parey Dewa in Matara
"Beach, Adventure",Low,Solo,Budget,Train,"Hambanthota, Sinharaja, Mirissa",Explore Bundala National Park; Trek in Sinharaja Rainforest; Go whale watching in Mirissa
Adventure,Medium,Solo,Eco-friendly,Bus,"Unawatuna, Ella",Relax at Unawatuna Beach; Hike Ella Rock
"Adventure, Culture",Medium,Solo,Luxury,Bus,"Ella, Arugambay, Colombo, Trincomalee, Mihintale",Hike Ella Rock; Surf in Arugambay; Visit a Gangaramaya Temple; Snorkel at Pigeon Island; Climb Mihintale Rock Temple
"Wildlife, Relaxation",High,Family,Eco-friendly,Train,"Yala, Sinharaja, Habarana, Arugambay, Galle, Weligama",Safari in Yala National Park; Trek in Sinharaja Rainforest; Safari in Habarana; Surf in Arugambay; Explore Dutch Fort in Galle; Take surfing lessons in Weligama
Wildlife,Low,Family,Luxury,Rental Car,"Minneriya, Yala, Wilpattu",Visit the elephant gathering in Minneriya; Safari in Yala National Park; Explore Wilpattu National Park
Culture,Medium,Group,Luxury,Train,"Colombo, Kandy, Kalutara",Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya
Adventure,Medium,Family,Eco-friendly,Bus,"Ella, Unawatuna",Hike Ella Rock; Relax at Unawatuna Beach
Adventure,Medium,Family,Budget,Bus,Nuwara Eliya,Tour tea plantations in Nuwara Eliya
"Beach, Wildlife, Adventure",Low,Solo,Budget,Train,"Galle, Arugambay, Habarana, Sinharaja, Unawatuna, Arugambay, Mirissa",Explore Dutch Fort in Galle; Surf in Arugambay; Safari in Habarana; Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Surf in Arugambay; Go whale watching in Mirissa
Culture,Medium,Solo,Budget,Bus,"Mihintale, Dambulla, Kalutara",Climb Mihintale Rock Temple; Explore Dambulla Cave Temple; Visit Kalutara Bodhiya
Relaxation,Medium,Solo,Luxury,Bus,"Negombo, Matara, Kalutara",Relax on Negombo Beach; Visit Parey Dewa in Matara; Visit Kalutara Bodhiya
Culture,High,Solo,Luxury,Bus,"Polonnaruwa, Trincomalee",Explore ancient ruins in Polonnaruwa; Snorkel at Pigeon Island
Relaxation,Low,Group,Eco-friendly,Train,"Hatton, Koggala",Hike Adam's Peak; Relax at Koggala Beach
Adventure,Medium,Solo,Eco-friendly,Train,Unawatuna,Relax at Unawatuna Beach
"Relaxation, Beach, Adventure",Low,Group,Luxury,Bus,"Dambulla, Koggala, Arugambay, Galle, Arugambay, Nuwara Eliya, Mirissa",Explore Dambulla Cave Temple; Relax at Koggala Beach; Surf in Arugambay; Explore Dutch Fort in Galle; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
"Wildlife, Relaxation, Beach",Medium,Solo,Eco-friendly,Train,"Habarana, Galle, Galle, Negombo, Bentota",Safari in Habarana; Explore Dutch Fort in Galle; Explore Dutch Fort in Galle; Relax on Negombo Beach; Jet skiing in Bentota
"Culture, Adventure",High,Group,Budget,Bus,"Trincomalee, Sigiriya, Nuwara Eliya, Unawatuna",Snorkel at Pigeon Island; Visit Sigiriya Rock Fortress; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach
Adventure,High,Solo,Luxury,Rental Car,"Arugambay, Mirissa",Surf in Arugambay; Go whale watching in Mirissa
Wildlife,Low,Group,Luxury,Train,Wilpattu,Explore Wilpattu National Park
"Culture, Beach",High,Family,Budget,Train,"Sigiriya, Mihintale, Dickwella, Hambanthota, Bentota",Visit Sigiriya Rock Fortress; Climb Mihintale Rock Temple; Visit the Beach; Explore Bundala National Park; Jet skiing in Bentota
"Relaxation, Beach, Culture",Low,Solo,Eco-friendly,Train,"Kandy, Bentota, Puttalam, Mihintale, Dambulla, Anuradhapura",Visit the Temple of the Sacred Tooth Relic; Jet skiing in Bentota; Birdwatch at Puttalam Lagoon; Climb Mihintale Rock Temple; Explore Dambulla Cave Temple; Visit ancient stupas in Anuradhapura
